,title,author,publisher,publish_year
0,트렌드 코리아 2022,김난도,미래의창,2021년 10월 06일 출간
1,인생은 실전이다,주언규,상상스퀘어,2021년 09월 08일 출간
2,소크라테스 익스프레스,에릭 와이너,김하현,2021년 04월 28일 출간
3,달러구트 꿈 백화점,이미예,팩토리나인,2020년 07월 08일 출간
4,달러구트 꿈 백화점. 2,이미예,팩토리나인,2021년 07월 27일 출간
5,그냥 하지 말라,송길영,북스톤,2021년 10월 05일 출간
6,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,권영주,2021년 06월 28일 출간
7,방금 떠나온 세계(양장본 HardCover),김초엽,한겨레출판사,2021년 10월 20일 출간
8,미드나잇 라이브러리,매트 헤이그,노진선,2021년 04월 28일 출간
9,불편한 편의점,김호연,나무옆의자,2021년 04월 20일 출간
10,거꾸로 읽는 세계사,유시민,돌베개,2021년 10월 29일 출간
11,듄. 1(DUNE)(양장본 HardCover),프랭크 허버트,김승욱,2021년 01월 21일 출간
12,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,장명숙,김영사,2021년 08월 18일 출간
13,설민석의 한국사 대모험. 18,설민석,정현희,2021년 10월 18일 출간
14,럭키,김도윤,북로망스,2021년 08월 25일 출간
15,주술회전 팬북,Gege Akutami,이정운,2021년 10월 29일 출간
16,열혈강호. 84,전극진,양재현,2021년 10월 14일 출간
17,작별하지 않는다,한강,문학동네,2021년 09월 09일 출간
18,오은영의 화해,오은영,코리아닷컴,2019년 01월 10일 출간
19,공부의 본질,이윤규,빅피시,2021년 10월 15일 출간
20,작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션),소윤,북로망스,2021년 09월 29일 출간 (1쇄 2021년 03월 24일)
21,주식투자 절대원칙,박영옥(주식농부),센시오,2021년 11월 01일 출간
22,지금은 나만의 시간입니다,김유진,토네이도,2021년 10월 15일 출간
23,인간 실격(세계문학전집 103),다자이 오사무,김춘미,2012년 04월 10일 출간 (1쇄 2004년 05월 15일)
24,돈의 심리학(양장본 HardCover),모건 하우절,이지연,2021년 01월 13일 출간
25,대한민국 재건축 재개발 지도,정지영,다산북스,2021년 08월 25일 출간
26,완전한 행복,정유정,은행나무,2021년 06월 08일 출간
27,거대한 가속,스콧 갤러웨이,박선령,2021년 10월 05일 출간
28,해리 포터와 비밀의 방(미나리마 에디션)(양장본 HardCover),J. K. 롤링,강동혁,2021년 10월 26일 출간
29,지구 끝의 온실,김초엽,자이언트북스,2021년 08월 18일 출간
30,공정하다는 착각(30만 부 기념 리커버 에디션)(리커버:K),마이클 샌델,함규진,2020년 12월 01일 출간
31,크리스마스 피그(양장본 HardCover),J.K. 롤링,공보경,2021년 10월 12일 출간
32,4~7세보다 중요한 시기는 없습니다,이임숙,카시오페아,2021년 08월 02일 출간
33,부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),로버트 기요사키,안진환,2018년 02월 22일 출간 (1쇄 2000년 02월 10일)
34,돈의 속성(150쇄 기념 에디션),김승호,스노우폭스북스,2020년 06월 15일 출간
35,"돈, 뜨겁게 사랑하고 차갑게 다루어라(코스톨라니 투자총서 1)",앙드레 코스톨라니,김재경,2015년 09월 30일 출간
36,어른의 문답법,피터 버고지언,홍한결,2021년 09월 10일 출간
37,생각한다는 착각,닉 채터,김문주,2021년 09월 30일 출간
38,백조와 박쥐,히가시노 게이고,양윤옥,2021년 08월 16일 출간
39,마음의 주인,이기주,말글터,2021년 08월 17일 출간
40,어떻게 말해줘야 할까,오은영,차상미,2020년 10월 25일 출간
41,부의 추월차선,엠제이 드마코,신소영,2013년 08월 20일 출간
42,투자의 본질,박세익,위너스북,2021년 08월 20일 출간
43,세계미래보고서 2022: 메타 사피엔스가 온다,박영숙,비즈니스북스,2021년 10월 19일 출간
44,1차원이 되고 싶어,박상영,문학동네,2021년 10월 08일 출간
45,채사장의 지대넓얕. 1: 권력의 탄생(생각을 넓혀 주는 어린이 교양 도서 1),채사장,정용환,2021년 09월 17일 출간
46,아몬드(양장본 HardCover),손원평,창비,2017년 03월 31일 출간
47,필로소피 랩,조니 톰슨,최다인,2021년 10월 20일 출간
48,해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),David Cho,해커스어학연구소,2021년 03월 02일 출간 (1쇄 2019년 01월 02일)
49,다정한 것이 살아남는다(양장본 HardCover),브라이언 헤어,이민아,2021년 07월 26일 출간
50,메타버스 새로운 기회,김상균,베가북스,2021년 06월 08일 출간
51,생각을 바꾸는 생각들,비카스 샤,임경은,2021년 08월 09일 출간
52,흔한남매. 8(양장본 HardCover),흔한남매 (원작),유난희,2021년 07월 14일 출간
53,전달의 법칙(단 1줄로 사로잡는),모토하시 아도,김정환,2021년 10월 15일 출간
54,모든 관계는 나에게 달려 있다,황시투안,정은지,2021년 10월 10일 출간
55,당신만 몰랐던 부동산 투자(반양장),김학렬(빠숑),베가북스,2021년 10월 20일 출간
56,존 메이너드 케인스,재커리 D. 카터,김성아,2021년 10월 27일 출간
57,소수점 투자,노정동,책들의정원,2021년 10월 30일 출간
58,그리스 로마 신화. 25: 파리스의 심판(양장본 HardCover),박시연,최우빈,2021년 10월 13일 출간
59,언바운드,조용민,인플루엔셜,2021년 09월 01일 출간
60,서울 자가에 대기업 다니는 김 부장 이야기. 1: 김부장 편,송희구,서삼독,2021년 08월 25일 출간
61,흔한남매의 흔한 호기심. 4,흔한남매,유난희,2021년 09월 09일 출간
62,양순이네 떡집(난 책읽기가 좋아)(양장본 HardCover),김리리,김이랑,2021년 08월 16일 출간
63,모든 것은 기본에서 시작한다,손웅정,수오서재,2021년 10월 15일 출간
64,2022 한국이 열광할 세계 트렌드,KOTRA,알키,2021년 11월 01일 출간
65,공간의 미래,유현준,을유문화사,2021년 04월 25일 출간
66,스타트 위드 와이(Start With Why),사이먼 시넥,윤혜리,2021년 10월 26일 출간
67,아파트 청약 이렇게 쉬웠어?,김태훈(베니아),송희창(송사무장),2021년 08월 20일 출간
68,하버드 지혜 수업,무천강,정은지,2021년 10월 20일 출간
69,너의 말이 좋아서 밑줄을 그었다,림태주,웅진지식하우스,2021년 10월 15일 출간
70,오늘은 이만 좀 쉴게요(10만 부 기념 스페셜 에디션),손힘찬(오가타 마리토),이다영,2021년 03월 10일 출간
71,데일 카네기 인간관계론,데일 카네기,임상훈,2019년 10월 07일 출간
72,소문,오기와라 히로시,권일영,2021년 09월 26일 출간
73,행복의 지도,에릭 와이너,김승욱,2021년 09월 03일 출간
74,설민석의 세계사 대모험.10,설민석,박성일,2021년 09월 30일 출간
75,아들아 세상의 중심에 너 홀로 서라,필립 체스터필더,이은경,2021년 10월 25일 출간
76,꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주,지혜,2020년 11월 30일 출간 (1쇄 2015년 06월 20일)
77,월급쟁이 부자로 은퇴하라,너나위,알에이치코리아,2019년 05월 22일 출간
78,요리코를 위해,노리즈키 린타로,이기웅,2020년 03월 04일 출간
79,밝은 밤,최은영,문학동네,2021년 07월 27일 출간
80,나 혼자만 레벨업. 5(만화)(일반판)(디앤씨웹툰비즈),장성락(REDICE STUDIO),디앤씨웹툰비즈,2021년 10월 07일 출간
81,믿는 만큼 자라는 아이들(4판),박혜란,나무를심는사람들,2019년 10월 25일 출간
82,지박소년 하나코 군. 0,AidaIro,장혜영,2021년 10월 30일 출간
83,세금 내는 아이들,옥효진,김미연,2021년 06월 15일 출간
84,기분이 태도가 되지 않게,레몬심리,박영란,2020년 06월 30일 출간
85,도쿄 리벤저스. 13,Ken Wakui,학산문학사,2021년 10월 25일 출간
86,행성어 서점(양장본 HardCover),김초엽,최인호,2021년 11월 01일 출간
87,NFT 레볼루션,성소라,더퀘스트,2021년 09월 01일 출간
88,데일 카네기 자기관리론(1948년 초판 완역본),데일 카네기,임상훈,2021년 01월 13일 출간
89,하면 된다! 퀀트 투자(파이어족 강환국의),강환국,신진오,2021년 09월 15일 출간
90,나는 주식 대신 달러를 산다,박성현,알에이치코리아,2021년 05월 30일 출간
91,나는 나답게 살기로 했다,손힘찬,스튜디오오드리,2021년 02월 08일 출간
92,방구석 미술관,조원재,블랙피쉬,2018년 08월 03일 출간
93,숫자는 어떻게 진실을 말하는가(양장본 HardCover),바츨라프 스밀,강주헌,2021년 09월 16일 출간
94,그러라 그래(양장본 HardCover),양희은,김영사,2021년 04월 12일 출간
95,리더를 위한 멘탈 수업,윤대현,인플루엔셜,2021년 10월 20일 출간
96,기분이 태도가 되지 않으려면,나겨울,떠오름,2021년 08월 30일 출간
97,흔한남매 과학 탐험대. 2: 지구와 달(양장본 HardCover),흔한남매 (원작),김덕영,2021년 08월 27일 출간
98,흔한남매 별난 방탈출. 3(양장본 HardCover),흔한남매 (원작),차차,2021년 08월 25일 출간
99,세계를 건너 너에게 갈게(문학동네청소년 39),이꽃님,문학동네,2021년 09월 24일 출간 (1쇄 2018년 02월 09일)
100,우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽,허블,2019년 06월 24일 출간
101,숲속 100층짜리 집,이와이 도시오,김숙,2021년 08월 25일 출간
102,타이탄의 도구들(리커버 에디션),팀 페리스,박선령,2020년 03월 09일 출간 (1쇄 2017년 04월 03일)
103,월가의 영웅(전설로 떠나는)(3판)(양장본 HardCover),피터 린치,이건,2021년 07월 30일 출간
104,퍼시스턴트 라이프,김영욱,클라우드나인,2021년 09월 19일 출간
105,마지막 몰입: 나를 넘어서는 힘,짐 퀵,김미정,2021년 02월 23일 출간
106,상대적이며 절대적인 지식의 백과사전(반양장),베르나르 베르베르,이세욱,2021년 11월 10일 출간
107,예민한 사람을 위한 좋은 심리 습관,캐린 홀,신솔잎,2021년 10월 29일 출간
108,모순(양장본 HardCover),양귀자,쓰다,2013년 04월 01일 출간
109,긴긴밤(보름달문고 83),루리,루리,2021년 02월 03일 출간
110,사람이 싫다,손수호,브레인스토어,2021년 10월 08일 출간
111,코스모스(보급판),칼 세이건,홍승수,2010년 01월 20일 출간 (1쇄 2006년 12월 20일)
112,취향의 기쁨,권예슬,권예슬,2021년 10월 20일 출간
113,게임하는 뇌,이경민,몽스북,2021년 08월 31일 출간
114,잘했고 잘하고 있고 잘 될 것이다,정영욱,부크럼,2021년 05월 14일 출간
115,미적분의 힘,스티븐 스트로가츠,이충호,2021년 09월 24일 출간
116,나의 첫 주식 교과서(강방천&존리와 함께하는),강방천,페이지2북스,2021년 07월 21일 출간
117,EBS 당신의 문해력(EBS 부모교육),김윤정,EBS BOOKS,2021년 08월 20일 출간
118,돈의 역사는 되풀이된다,홍춘욱,포르체,2021년 06월 16일 출간
119,EEA: English for Everyday Activities(한글판)(개정판 3판),Lawrence J. Zwier,웅진컴퍼스,2020년 12월 17일 출간
120,공식의 아름다움(양장본 HardCover),양자학파,김지혜,2021년 11월 10일 출간
121,믿는 인간에 대하여,한동일,흐름출판,2021년 09월 30일 출간
122,일기,황정은,창비,2021년 10월 18일 출간
123,참 눈치 없는 언어들,안현진,월요일의 꿈,2021년 10월 28일 출간
124,읽으면서 바로 써먹는 어린이 신체 관용구(맛있는공부 43),한날,한날,2021년 08월 25일 출간
125,너를 닮은 사람,정소현,문학과지성사,2021년 10월 15일 출간
126,내일은 내일의 해가 뜨겠지만 오늘 밤은 어떡하나요,연정,발코니,2020년 04월 20일 출간
127,나는 왜 생각이 많을까?,홋타 슈고,윤지나,2021년 07월 19일 출간
128,나는 약속을 지켜요,다카하마 마사노부,김보혜,2021년 08월 18일 출간
129,하프 브로크,진저 개프니,허형은,2021년 11월 03일 출간
130,일어날 일은 일어난다(양장본 HardCover),박권,동아시아,2021년 10월 15일 출간
